[0.00 -> 2.00]  Alhamdulillah
[3237.64 -> 3242.20]  your body, your mind, your heart, your nafs, your spirit.
[3242.20 -> 3245.80]  These are the main things that Allah has given us
[3245.80 -> 3246.92]  in this dunya to look after.
[3246.92 -> 3250.12]  You have to look after these things, protect them.
[3250.12 -> 3252.40]  But of course they get affected through sin,
[3252.40 -> 3253.84]  through bad habits.
[3253.84 -> 3255.20]  This is the things that can take you away
[3255.20 -> 3256.48]  from the friendship of Allah.
[3256.48 -> 3258.22]  So you have to learn how to clean.
[3258.22 -> 3260.08]  It's like if you're, again,
[3261.20 -> 3263.04]  now the person is past their driving test,
[3263.04 -> 3264.40]  they wanna learn how to drive.
[3264.40 -> 3265.64]  They wanna start driving.
[3266.60 -> 3267.56]  What's the first thing they do?
[3267.56 -> 3268.80]  They buy a car.
[3268.80 -> 3270.44]  But imagine the car is very dirty.
[3270.44 -> 3272.52]  The car is so dirty.
[3272.52 -> 3273.44]  What's the first thing?
[3273.44 -> 3274.36]  They can't drive through it
[3274.36 -> 3277.28]  because there's so much dirt and grime on the windscreen.
[3277.28 -> 3279.02]  You have to clean it.
[3279.02 -> 3281.92]  So likewise, we have these things that Allah has given us,
[3281.92 -> 3285.92]  but usually we've become dirty because of sin.
[3285.92 -> 3286.76]  The Prophet Sallallahu Alaihi Wasallam said,
[3286.76 -> 3290.00]  every sin leaves a black dot, a black mark on the heart.
[3291.24 -> 3296.24]  So the Mashaikh, every problem has a solution in Islam.
[3296.90 -> 3299.24]  So the Mashaikh, the teachers, they've said,
[3299.24 -> 3303.00]  okay, your heart has seven roots
[3303.00 -> 3304.88]  that sin can come in through.
[3304.88 -> 3306.28]  They call it the spiritual organs.
[3306.28 -> 3308.80]  Through your eyes, you can let bad things in.
[3308.80 -> 3311.58]  Through your tongue, we talked about tongue earlier.
[3311.58 -> 3314.84]  through your ears, through your hands, your feet,
[3314.84 -> 3317.46]  where you go to, your stomach, what you eat,
[3317.46 -> 3318.34]  and your private parts.
[3318.34 -> 3320.26]  Okay, that's the seven avenues.
[3320.26 -> 3322.58]  I'm going very high level here.
[3322.58 -> 3324.58]  But sin can come in through any of these avenues.
[3324.58 -> 3326.20]  Some people, they struggle with some,
[3326.20 -> 3328.00]  some people struggle more with their eyes.
[3328.00 -> 3330.44]  Some people struggle with their tongue.
[3330.44 -> 3332.78]  But, and then they might have a very dark heart.
[3332.78 -> 3334.70]  And then they, when they praise namaz, salah,
[3334.70 -> 3337.06]  they feel, I can't concentrate.
[3337.06 -> 3339.42]  I can't connect with Allah.
[3339.42 -> 3340.26]  Why?
[3340.26 -> 3341.38]  Because you've got so much darkness,
[3341.38 -> 3346.50]  carrying, nobody has shown you how to clean it. Imagine you get into a very
[3346.50 -> 3351.46]  dirty car, you're like, I passed my exam but I can't drive because it's so dirty.
[3351.46 -> 3355.94]  Nobody showed you how to clean the car. So once they show you how to clean it,
[3355.94 -> 3361.34]  then you can start driving. It's like same as here, when someone shows you how
[3361.34 -> 3365.78]  to clean your heart, then you can, inshallah, then you can start driving.
[3365.78 -> 3370.62]  But this time towards Allah. Okay, so this is all taught and we teach a
[3370.62 -> 3377.42]  a method, again, this is just, you get taught this in a free six-week program. If you're
[3377.42 -> 3382.12]  interested, you can sign up to it at the end, where you can learn how to take bad habits
[3382.12 -> 3388.78]  out of your, if you have a bad habit you struggle with, you can be taught how to leave that
[3388.78 -> 3392.86]  habit and how you can replace it with a good habit, the secret to change yourself. So we
[3392.86 -> 3398.14]  teach this in this course, and we use Sheets, again, similar to the one I said earlier,
[3398.14 -> 3403.14]  can take every day that you do something good and anyway so all of this is
[3403.14 -> 3407.66]  available and again this is just I'm not going to explain this but this is the
[3407.66 -> 3414.34]  full course it's it shows you you can't really see it is you can see online as
[3414.34 -> 3418.98]  well but there's a full course how to become a complete roadmap to the
[3418.98 -> 3424.66]  friendship of Allah that in and I'm telling you guys now because I don't get
[3424.66 -> 3431.06]  money for this or anything like that but I benefited from meeting people who
[3431.06 -> 3438.02]  taught me this. You know 10-15 years ago I was in Umrah trying to seek Allah and I
[3438.02 -> 3442.18]  always felt very sad that you know what's going on in my life that I don't
[3442.18 -> 3447.74]  feel closer to Allah what's going what's wrong because it's not my fault nobody
[3447.74 -> 3452.74]  showed me how to become close to Allah the friend that's what so then when
[3452.74 -> 3456.20]  someone put it together for me like this it's like I was like wow it's amazing
[3456.20 -> 3460.24]  it's not hard you don't need to be an Alim you don't need to know Arabic you
[3460.24 -> 3463.58]  don't know anything you just need to you can start with what we showed you
[3463.58 -> 3467.96]  earlier those three things but if you want to go to the next level up there's
[3467.96 -> 3471.50]  much more you can do to gain the pleasure of Allah inshallah to live like
[3471.50 -> 3476.42]  an awliya Allah very easy and so Alhamdulillah this is all available to you
[3476.42 -> 3480.74]  and so again this is the remember there's three paths we're going to talk
[3480.74 -> 3485.38]  to today this is the second part again the whatsapp group you've joined us that's fine
[3486.74 -> 3492.18]  inshallah for people that are interested in this today i'm only going to give the on the whatsapp
[3492.18 -> 3496.50]  group i'm only going to give the first leaflet because most people that's all they want so i'm
[3496.50 -> 3501.94]  going to give that if anyone else is interested you can sign up at the end and we'll what we'll
[3501.94 -> 3507.62]  do is we'll give you extra information and you can sign up to a six-week course online
[3507.62 -> 3514.50]  Maybe one hour every week for six weeks, and you can learn this path that I just I just went through it very quickly
[3514.50 -> 3519.18]  Yeah, I think even we did the retreat. You would have learned bits of this
[3519.18 -> 3521.90]  it's still be beneficial if you're interested to sign up and
[3522.58 -> 3528.76]  You can do it at your own time. It runs every six weeks. We're gonna get people to run it. Maybe not myself, but others
[3529.38 -> 3534.82]  But you can learn how to become a friend of Allah in a way that I've never seen anyone else teach it like this
[3534.82 -> 3539.82]  I'm amazed that to be honest, the reason I'm doing this talk today is because
[3540.42 -> 3542.42]  We have this
[3542.58 -> 3546.58]  This course I've benefited from it. I know people that benefit from it
[3547.30 -> 3550.22]  It's the main reason we actually come to these every two weeks
[3552.58 -> 3554.10]  It's really
[3554.10 -> 3557.90]  I'm a house because you guys come you give your time. You're here for the first time brother
[3558.10 -> 3563.38]  Normally we give a reminder or talk about but people go away and then they forget
[3564.82 -> 3567.90]  And then they their life goes back to the same
[3568.78 -> 3574.62]  Because that means I haven't done my job in giving you imagine my teachers have given me gems
[3575.22 -> 3577.98]  Gold and if I'm just keeping it to myself
[3578.98 -> 3583.46]  So that means I will be asked why didn't you share it with everyone?
[3583.54 -> 3585.74]  So what I'm doing now is I'm explaining to you
[3586.22 -> 3591.14]  These are the gems my teacher have given me you guys can take as well if you want if you want to learn more
[3591.26 -> 3593.26]  We'll give you more information
[3593.26 -> 3599.58]  So Alhamdulillah, we're going to the last part now, we've talked about the first two,
[3599.58 -> 3603.18]  but this is the last, it won't be that long, left.
[3603.18 -> 3609.90]  The first two is the people that want to benefit themselves, whether it's Jannah, whether
[3609.90 -> 3619.98]  it's Awliya'Allah, but the last part says look, I want those things, but I also want
[3619.98 -> 3630.38]  to be someone that the Prophet sallallahu alaihi wasallam, I want to share it. I'll
[3630.38 -> 3641.74]  be honest, if there are people that's in the past, people that brought Islam to our ancestral
[3641.74 -> 3653.02]  homeland of Pakistan, Bangladesh, India, and obviously I'm in a mosque, but did the Prophet
[3653.02 -> 3662.86]  go to India, go to Pakistan, no right, but the Prophet did go to different places in
[3662.86 -> 3670.38]  Arabia to spread Islam and beyond, and then to then say I want to then take this beauty.
[3670.38 -> 3677.02]  so hadrat for example shah jalal of yemen took um his teachings went to bangladesh and then spread the
[3678.30 -> 3683.74]  teachings of islam there so that before even social media before internet they didn't have any of
[3684.62 -> 3690.30]  that but they made they helped millions of people become islam not through battle or warfare nothing
[3690.30 -> 3696.14]  like all these people right wing people say it's through just beautiful character good conduct
[3696.14 -> 3700.94]  helping people but they please the prophet sallallahu alaihi wa sallam because they are
[3700.94 -> 3704.14]  the reason why the ummah of the prophet sallallahu alaihi wa sallam would be the largest ummah
[3704.14 -> 3709.26]  out of all the ummahs is because of the effort of these individuals so imagine yes you can be a
[3709.26 -> 3716.30]  person of jannah yes you can be a friend of allah but imagine that you are someone that you are
[3716.30 -> 3720.78]  carrying the mission of the prophet sallallahu alaihi wa sallam how beloved will you be to the
[3720.78 -> 3725.10]  Prophet Sallallahu Alaihi Wasallam and how beloved will you be to Allah that you're replicating that
[3725.10 -> 3729.58]  the mission of his beloved Nabi Sallallahu Alaihi Wasallam so that's what this path is for
[3730.22 -> 3736.70]  again um and there's a pathway as well that we can go into how how to if you want this if you want
[3736.70 -> 3742.70]  to be part of this mission how you can learn how to be a part of it starting with for example like
[3742.70 -> 3747.90]  for example this gathering i mean i come every week um but if you wanted to help for example
[3747.90 -> 3753.54]  It's up to you like as in if you like a or maybe I forget to write the reminders or someone can just send it
[3754.02 -> 3756.86]  So those things more like that, but we start with
[3757.78 -> 3762.14]  Where we start is you have to look up. What are your strengths?
[3762.82 -> 3765.30]  What are you good at if you want to help?
[3766.70 -> 3769.10]  Take the mission the message of the process alone
[3769.86 -> 3775.78]  Most people are scared of it because they think oh, I can't give a talk. I can't give an Islamic lecture
[3775.78 -> 3780.58]  I don't know how to do it or I don't know enough Islam or I don't know this. I don't know that
[3781.10 -> 3786.42]  That's because you're focusing on your weaknesses. So we see that our teachers say why are you good at?
[3786.86 -> 3788.70]  What can you do?
[3788.70 -> 3796.20]  That can that's easy for you. Can you design posters? Can you are you good with AI? Are you good with?
[3797.16 -> 3803.92]  Do you like gathering knowledge? Do you like researching? Do you like learning about Islam or do you just like meeting people?
[3803.92 -> 3807.26]  Do you like talking to people? It's like the easiest out of all of those things, right?
[3808.78 -> 3816.26]  So you can and in this we there's a we have if you're interested in this you can learn what your strengths are
[3816.38 -> 3821.76]  We have an AI tool where you can assess it. You can find what you're good at. Are you a good leader? Are you a good?
[3823.10 -> 3828.14]  Helper I whatever it doesn't matter. Everyone's got something because this is a divine
[3828.14 -> 3836.14]  That Allah has created everyone where everyone has a special strength. This is how Allah, Allah doesn't just make us physically
[3836.94 -> 3842.86]  Different to unique. Yes, you unique you look you look unique. Majid you look like yourself. I look like myself
[3843.22 -> 3844.90]  We all look like
[3844.90 -> 3851.90]  Ourselves, but Allah has also made us unique strengths. So maybe here Alhamdulillah, I'm speaking to you
[3851.90 -> 3856.06]  I don't personally think there's anything special in the way I'm delivering it
[3856.06 -> 3863.62]  But like um, but I'm learning from my teachers and I'm and I'm able to speak to you inshallah in a way that
[3864.18 -> 3866.18]  motivates you
[3866.66 -> 3869.94]  There are other people they're good at graphic design they're good at
[3870.82 -> 3877.02]  Everyone they're good at researching. Whatever. Everyone's got a special skill or talent that they have that Allah gifted you and
[3877.54 -> 3882.24]  There's a secret there that if you work on that talent and you use it for Allah
[3882.24 -> 3887.04]  that's a that can you can go to Allah very quickly because you're using it's
[3887.04 -> 3892.76]  like if I give you this phone I want you to use it to help for it to help you in
[3892.76 -> 3897.28]  your life so the same way Allah has given us each a gift if we use it and
[3897.28 -> 3901.96]  we're good at it we use it it will help us in our life so if you're good at for
[3901.96 -> 3905.88]  example and people that are taxi drivers they they know routes very well like the
[3905.88 -> 3911.36]  back or now we have sat nav so you can use that but you use it to be better at
[3911.36 -> 3919.98]  your job. The accountant, they use calculators. Back in the day, they used Excel. Or the doctors,
[3919.98 -> 3924.96]  they use all the tools that they have, the machines, the stethoscopes, the blood pressure
[3924.96 -> 3929.72]  machines, all that stuff. So these are the things that you can use, you can learn how
[3929.72 -> 3936.80]  to become, to bring out your strengths. Now this one, the screen is probably too small
[3936.80 -> 3943.24]  to see this. But really, if you wanted to be part of the prophetic mission, there's
[3943.24 -> 3948.96]  a lot of support that can be offered in terms of learning what your skill is, what you can
[3948.96 -> 3955.28]  do, all these things, you can learn how to do it. We can even start here in Luton. At
[3955.28 -> 3959.76]  some point, I don't imagine I've been speaking about it, but we want to form like maybe like
[3959.76 -> 3966.12]  a small team to start working on these gatherings, for example, we're just like, is there any
[3966.12 -> 3971.72]  we can improve it is there any way we can get more people like um offer it to more people uh
[3971.72 -> 3975.80]  mashallah if you come like this if you enjoy coming as well because like myself we've come a
[3975.80 -> 3984.52]  few times now um that it shows that allah has put something in your heart that this is something
[3984.52 -> 3990.44]  that it feels right for it feels good for me i'm happy to be here this means that allah again it's
[3990.44 -> 3995.16]  a blessed gathering allah wants you to be here and mashallah i'm amazed when people come you
[3995.16 -> 3999.32]  You give up your time to come. I shall like, you know, maybe you didn't know about the talk today, but you come
[3999.32 -> 4000.92]  You're sitting here
[4000.92 -> 4006.64]  I'm amazed that Allah put that in your heart and you're still here and so quite a long talks
[4006.64 -> 4008.64]  It's almost coming to an end
[4009.08 -> 4014.06]  But again, we if anyone's interested in this we give we we have three things to give you where
[4014.60 -> 4017.80]  You have what we mentioned earlier, but you can also have
[4018.44 -> 4023.20]  This book of prophetic of car and but this one needs a bit more explaining
[4023.20 -> 4028.68]  So, you know, I spent more time today on the first part because that's the easiest one where you can learn and you can I can
[4028.68 -> 4030.48]  Give it to you over what's up and you can do it yourself
[4030.48 -> 4036.48]  This one if you're interested, I need to sit with you and explain it a bit more inshallah if anyone's interested
[4038.04 -> 4041.56]  But now just to bring all of this together Alhamdulillah, so
[4043.00 -> 4047.28]  All of this what I've talked to you about like all these three pathways
[4047.28 -> 4054.00]  It's actually, there's a, I come here because I learn from my teachers, but it's part of
[4054.00 -> 4058.52]  this organization or this movement, and you would have seen it as well, again, last year
[4058.52 -> 4061.68]  I think we referenced it, Adim, the World Peace Movement.
[4061.68 -> 4065.88]  So what this is, it's in the name.
[4065.88 -> 4070.68]  We want to bring the peace of Islam to everyone across the world.
[4070.68 -> 4075.16]  This is what every Muslim's goal is, really, so everyone really is part of this.
[4075.16 -> 4076.68]  It's just, a name is a name.
[4076.68 -> 4078.40]  It doesn't really matter, really.
[4078.40 -> 4080.52]  Everyone, if you're Muslim, you're part of this.
[4080.52 -> 4082.56]  It's the same thing, right?
[4082.56 -> 4084.60]  But the way to do this, what it is,
[4084.60 -> 4085.68]  is some people have sat down and said,
[4085.68 -> 4087.80]  what are the problems in the world at the moment?
[4087.80 -> 4090.12]  And how can we bring peace to the world?
[4090.12 -> 4092.56]  So the problems, we look at what's affecting people
[4092.56 -> 4096.28]  individually, do they have problems with struggling
[4096.28 -> 4100.28]  with difficulty, sin, addiction, bad habits,
[4101.42 -> 4103.40]  other things, whether the struggles at work
[4103.40 -> 4109.80]  other things, we help them with their struggles. Then in terms of communities,
[4110.60 -> 4115.16]  with the problems of the community, can we help the community? These guys are working on this,
[4115.16 -> 4120.28]  and then how to teach people how to live in peace. They're really trying to, they're, and they've
[4120.28 -> 4127.16]  been, this is, they've been working on this for about three years, I think. My teachers, my
[4127.16 -> 4133.08]  colleagues have been going to different countries, about 70 countries in about two years. They had a
[4133.08 -> 4139.56]  plan in 10 years they started in 2023 in 10 years they plan to go take Islam and all these
[4139.56 -> 4143.72]  teachers I've talked to you today to take it to all parts of the world they want to do that by
[4144.44 -> 4151.32]  2033 I think but it's 2026 so in about two in about almost three years two and a half years
[4152.44 -> 4157.64]  they've actually reached 70 countries like just by different people who said that I want to be part
[4157.64 -> 4162.04]  of this I want to help I want to go I want to whatever it doesn't you don't have to go abroad
[4162.04 -> 4164.04]  You can just hear in this mosque in Newton
[4164.36 -> 4168.12]  We can help people even to be honest, even if you just come
[4168.76 -> 4173.96]  And you just listen to and you you you feel you come close to allah. That's an amazing thing
[4174.60 -> 4179.80]  That you've a problem. This is this level here that I have a problem in my life, but I feel
[4180.42 -> 4184.84]  Supported or if I have problem, I can speak to the start afterwards. I can ask him personal question
[4185.86 -> 4190.76]  Difficulty I can get advice. This is good because shaitan doesn't want you to do any of this
[4190.76 -> 4196.08]  He doesn't want you to get help. He doesn't want you to seek a good company. He doesn't want you to
[4196.92 -> 4199.20]  Tell other people about he doesn't want
[4200.20 -> 4206.84]  But we are trying to we're fighting the part of Shaitaan. We're going for the part of Rasool as-Salaam
[4208.16 -> 4209.68]  so
[4209.68 -> 4211.68]  There's many many other brands
[4212.24 -> 4218.62]  That's the one movement. It's a movement. They want to achieve change in the world, but they have different organizations
[4218.62 -> 4221.98]  I'm part of this one wise life Academy
[4222.66 -> 4227.26]  basically, they do courses like teaching like a marriage course or
[4228.10 -> 4230.10]  addiction course we teach people how to
[4230.90 -> 4234.10]  Navigate these topics and inshallah. We'll do a marriage course soon
[4234.78 -> 4236.78]  sometime maybe in the summer we'll do a
[4237.22 -> 4241.62]  The next one will teach people how to if you want to get married or if you're already married
[4242.14 -> 4245.94]  How you can get more harmony we teach people courses and
[4245.94 -> 4251.94]  And there's also things from non-muslims that want to learn about Islam. There's
[4252.70 -> 4254.70]  organizations we have and
[4254.82 -> 4261.14]  All all sorts of things and there's something for everyone really practicing Muslims non-practicing Muslims because Islam is for everyone
[4261.62 -> 4269.34]  But the problem is if you just go out these doors and you say rather become Muslim or bother. This is Islam and you got some
[4270.58 -> 4273.50]  right-wing EDL like non-muslim person
[4274.34 -> 4276.26]  They probably won't listen to you
[4276.26 -> 4280.98]  Yeah, that's why you need to have a different approach with everyone because people have different tastes
[4281.18 -> 4284.70]  So you need to so I'll have to know our teachers have done this already
[4284.90 -> 4287.98]  They said okay for the Muslims will give them this the non-muslims
[4287.98 -> 4293.90]  They can have this and but everyone can taste Islam and everyone can enjoy the sweet beautiful taste
[4294.10 -> 4296.94]  So that's all there. So again, if you're interested
[4296.94 -> 4304.26]  And if for this particular path it needs a bit more support, so there's actually a QR code on the next term
[4304.88 -> 4306.88]  Page which I'm gonna just um
[4307.04 -> 4310.40]  It's here. Actually. This is a special qr. It's different to the whatsapp group
[4311.60 -> 4313.04]  on this one
[4313.04 -> 4315.70]  I'd actually say now if everyone can just
[4316.04 -> 4321.72]  This is but this talk is meant to be practical right so you can walk away and you can say I've got something now
[4321.76 -> 4323.80]  That's gonna help me change my life
[4323.80 -> 4329.96]  I didn't just listen to it for entertainment, but I've learned something but I'm they're also gonna support me to help me and
[4330.76 -> 4337.24]  Really? It's up to me if I don't want the support no problem. No problem. If you do want more support, you can ask for it
[4337.24 -> 4341.52]  There's no charge. Alhamdulillah. I've been learning from these teachers for about 15 years
[4341.52 -> 4345.96]  And they've not charged me a single penny not one penny not one
[4346.96 -> 4348.96]  Nothing. I've never given
[4349.00 -> 4353.24]  But are all the best of relationships are not the ones that take take take
[4353.80 -> 4356.92]  But the ones that give give give so my teachers have given to me
[4356.92 -> 4361.40]  They've never taken anything from me. In fact, i'm the one that's taken everything really
[4361.88 -> 4366.92]  Um, but now alhamdulillah i'm able to give it if I take it then I should do something that i'm giving it to other people
[4367.48 -> 4368.44]  um
[4368.44 -> 4369.56]  so
[4369.56 -> 4372.36]  If you have a moment now, this is pretty much the end of today's talk
[4372.36 -> 4378.60]  But if you can what I really recommend is um, if you can scan this on your phone, it's just going to ask a few questions
[4379.32 -> 4383.00]  Um of those three paths, which ones are most uh interesting to you
[4383.00 -> 4389.52]  But it's a it's just very easy questions if everyone can do I think it works. I'm gonna try it myself
[4393.52 -> 4395.52]  So, um, if everyone
[4398.36 -> 4402.08]  I'm gonna see if it works as well. It should work
[4403.88 -> 4409.16]  What it should lead to to like a Google form or something like that
[4413.00 -> 4420.46]  I think you try on the Google maybe otherwise. I'll send the link. I'll do so much. He's got it. Oh, yeah
[4425.72 -> 4428.72]  So if we can take a moment just to fill out these questions
[4429.28 -> 4430.76]  People are watching online as well
[4430.76 -> 4433.88]  You can screen you can to be honest if you're on the laptop
[4433.88 -> 4438.84]  You can just take a picture of your phone and if not, if you're on your phone and get someone else's phone
[4439.28 -> 4441.28]  to take a picture
[4441.28 -> 4447.28]  So, Alhamdulillah, if we take a moment now just to fill out, it's very quick, it's a few minutes.
[4447.28 -> 4449.28]  So we'll give a moment just to fill that out.
[4449.28 -> 4452.28]  But this is really just to help us understand how we can help you.
[4452.28 -> 4455.28]  Because again, I can give you a talk like this.
[4455.28 -> 4463.28]  But really, the main thing is to help me understand what are you looking for.
[4463.28 -> 4466.28]  Because then that helps me make these talks more relevant to you.
[4466.28 -> 4469.00]  And inshallah so that everyone come back in two weeks time
[4469.72 -> 4471.56]  We pick topics that are helpful
[4471.56 -> 4474.78]  Which is i'll pause there just to fill out the questions inshallah
[4484.76 -> 4489.48]  You finished yeah, cool, so it's not too long alhamdulillah. It's quite quick actually
[4489.48 -> 4491.48]  I
[4493.24 -> 4495.24]  Go for any
[4497.20 -> 4499.20]  Right
[4503.16 -> 4505.16]  Right right
[4519.48 -> 4521.48]  I
[4522.40 -> 4525.96]  Was gonna ask now like if I want to
[4528.64 -> 4534.20]  Yeah, I have to join an organization to do it or no really to be honest a team it's a good question
[4534.20 -> 4538.72]  So if you wanted to do the third one, but what do you so there's this the qr. I just showed you now
[4539.44 -> 4546.60]  You just specify your interest then we can help support. So for example, like, you know last year you came to the retreat I think
[4546.60 -> 4552.28]  think it's been a while since we've done the retreat. So I think we need to top up. But we can
[4553.68 -> 4557.28]  you don't need to join you don't sign your life away. That's not what we're saying. If you want
[4557.28 -> 4561.96]  to be like you can just help as much as you want or as little as you want. But the main thing is
[4561.96 -> 4566.84]  you might need to say what can I do most people say they think I can't do anything. But actually
[4566.84 -> 4571.76]  what I said is everyone has a God given talent. And even me to be honest, for many years, I just
[4571.76 -> 4576.96]  to sit where you are and then one day my teacher injured his leg and then he said everyone I need
[4576.96 -> 4583.04]  you to fill in so I had to I had to learn how to give talks like this basically I had to listen
[4583.04 -> 4587.84]  to them speaking out to all I do is just repeat what my teachers are I don't really do anything
[4587.84 -> 4594.80]  extra beyond that um so you don't have to sign up any but basically if you're interested in that
[4594.80 -> 4599.92]  the main thing is what do you want that's that's the best it's always about what do you want um
[4599.92 -> 4609.92]  And if that's the thing that you want, if you want to be part of that, that's amazing, Allah has put that in your heart, then inshallah the job is then for me to help you, Ajim, how to achieve that.
[4609.92 -> 4622.92]  So we can sit down afterwards and go through it inshallah. So Alhamdulillah, I think that's pretty much it. Alhamdulillah, we'll bring it to a close there, Alhamdulillah.
[4622.92 -> 4628.92]  So that's really where we want to finish today.
[4628.92 -> 4630.92]  It's been quite long.
[4630.92 -> 4635.92]  So, sorry, this is, I don't know how this works.
[4635.92 -> 4637.92]  Alhamdulillah.
[4637.92 -> 4642.92]  So it's, let's just, the screen is very weird.
[4642.92 -> 4644.92]  There we go. Alhamdulillah.
[4644.92 -> 4650.92]  So that's really, basically what I've done in today's lecture
[4650.92 -> 4656.04]  is I've gone through pretty much everything that my teachers have taught me in terms of like
[4656.68 -> 4661.32]  what can benefit you. These talks are always meant to be, we come every two weeks,
[4661.32 -> 4667.64]  they're meant to be transformational. Now I'm not going to go through this for some time,
[4667.64 -> 4672.76]  so maybe next week we'll cover a different topic. It'll be a motivational topic. We'll mainly,
[4672.76 -> 4678.20]  these talks in these gatherings, mainly for motivation to help you become a personal
[4678.20 -> 4682.12]  of Jamna and then afterwards we can have Q&A, any difficulties you have if you're struggling
[4682.12 -> 4688.28]  with controlling your tongue or good characters, any questions or even related to the topic,
[4688.28 -> 4696.84]  we can go through it. Because I want you to have practical help on your way to Allah swt.
[4696.84 -> 4699.52]  So that's what these gatherings are. So if you want to come again, now you know it's
[4699.52 -> 4703.80]  your first time seeing it, but you know what this gathering is. It's a, I want to help
[4703.80 -> 4709.02]  you just as my teachers have helped me to become to go towards Jannah to go
[4709.02 -> 4712.72]  towards Allah to help with the Prophet's mission whatever you want
[4712.72 -> 4716.82]  Alhamdulillah that's what we want to achieve so if now you know the value of
[4716.82 -> 4720.30]  it you can choose you come here the first time you you can choose is this
[4720.30 -> 4724.08]  something I want to come again inshallah and if not then Alhamdulillah there's no
[4724.08 -> 4730.86]  there's no handcuff Alhamdulillah and if you can't make it next week you can
[4730.86 -> 4732.86]  Come again you on the water
[4733.94 -> 4739.74]  Okay, well we also bother we can keep in touch, but we do online stream so you can watch it if you miss it
[4739.74 -> 4744.34]  And like I said a team knows but there's um they do online
[4744.86 -> 4749.02]  Sunday afternoon they do a class they do a Wednesday and it's in London though
[4749.02 -> 4750.38]  That's the only difficulty
[4750.38 -> 4756.06]  But I humbler even if you're here first time it's a good first lecture to come to you to be honest because this is the I
[4756.90 -> 4758.90]  Haven't done something like this in a long time
[4758.90 -> 4771.90]  But inshallah from this Allah, we ask that Allah supports and encourages us to become better Muslims or whatever our intention is that Allah unites us with him and the Rasulullah sallallahu alaihi wasallam in this life and the next
[4771.90 -> 4780.90]  To help us become the best that we can be to reflect the Sunnah and the beloved model of the Prophet sallallahu alaihi wasallam
[4780.90 -> 4784.80]  And which in turn reflects the attributes of the beautiful attributes
[4785.70 -> 4791.76]  Of our last one at Allah so that we can achieve harmony in ourselves in our communities and inshallah
[4792.00 -> 4794.00]  Well, we could be reunited in Jannah
[4794.88 -> 4797.36]  I mean, okay. I'm de la belana mean
[4799.32 -> 4803.68]  Insha'Allah are there any questions because it was a long lecture. I think you had some good ones, but
[4810.90 -> 4816.42]  transformation what do I mean by transformation so politicians love it
[4816.42 -> 4821.98]  they love the word change because basically they say what's everything
[4821.98 -> 4826.50]  currently is not in a great state yeah so it's like someone wants to go to the
[4826.50 -> 4829.54]  gym why do they want to go to the gym they want to physically transform their
[4829.54 -> 4832.38]  body they want to change they don't like their weight they want to become
[4832.38 -> 4837.14]  healthy and that this is like this is like the spiritual gym you want to train
[4837.14 -> 4844.62]  your spirit to become close to Allah and the course I talked about it
[4844.62 -> 4849.34]  teaches you how to take bad traits out and embed good traits but that leads to
[4849.34 -> 4854.02]  transformation. Transformation meaning you become changed into a better person
[4854.02 -> 4860.36]  really a better Muslim closer to Allah a person of Jannah all that that's what
[4860.36 -> 4865.10]  transformation means and again back to Eid last week end of Dhul Hijjah, end of
[4865.10 -> 4869.14]  Ramadan this is what we celebrate how if we transform how most people haven't transformed
[4869.30 -> 4871.30]  That's why they need something like this
[4871.30 -> 4876.94]  that and the scholars they take the teachings of results Rasul Allah sallallahu alaihi wa sallam and they
[4877.34 -> 4882.26]  Condense it and then they give it to us in a way that we understand and we can benefit the fastest
[4882.58 -> 4887.54]  Otherwise we can also Google hadith Google Quran. We can look through it ourselves
[4888.06 -> 4891.54]  We can take a very long time to get to the same answers. Maybe
[4892.44 -> 4897.32]  You know, you can you can see if the Quran says lower your gaze. How should I do that?
[4898.94 -> 4903.06]  This is this is where you need to learn and some people might try it but they might fail
[4903.30 -> 4907.36]  So then how can you have a system of learning how to do this so that you become successful?
[4908.22 -> 4912.26]  Many people think is it possible? I'm telling you it is possible
[4913.22 -> 4919.42]  Again, that's probably pathway to the friend of Allah the six-week course. So anyone who's interested is available to anyone
[4919.42 -> 4926.70]  There's no paywall. There's no minimum requirement. Technically, you don't even have to be Muslim and non-muslim could sign up to this and benefit
[4927.42 -> 4929.84]  So it's literally open to everyone inshallah
[4931.38 -> 4935.42]  Come to us. So that's a really good question. I think was there any other questions or anything?
[4942.42 -> 4946.98]  Okay, if it's out of the topic, I'm just gonna pause this and then inshallah we can
[4946.98 -> 4949.88]  And yeah, so we'll come back to that question.
[4949.88 -> 4953.08]  If it's related to the topic, because it's just
[4953.08 -> 4956.52]  for the recording, and then I'll switch off.
[4956.52 -> 4963.04]  So how do you explain it?
[4963.04 -> 4965.48]  Can you do it through books as well, like transformation?
[4965.48 -> 4967.52]  Or like doing zik?
[4967.52 -> 4969.92]  OK, this is a very good question, very good question.
[4969.92 -> 4973.24]  So Adim asks, learning how to change yourself,
[4973.24 -> 4974.84]  can you learn just from books?
[4974.84 -> 4976.88]  Or like scholars, like on YouTube?
[4976.88 -> 4980.12]  All YouTube scholars, all the care, like you said, as well.
[4980.12 -> 4983.72]  So Alhamdulillah, these are all good things, right?
[4983.72 -> 4990.56]  It's like, imagine I said, Adim, imagine I said to you,
[4990.56 -> 4992.64]  come to my house, I'm going to have a feast.
